requirement_id,chapter,keyword_profile,text
CDS500-R056,CDS-500,MUST,"Each registry entry MUST declare: a stable comparator identifier, a behaviour version, supported input types, ordered normalisation steps, the equality rule, any tolerance parameters, and test vectors including at least one negative (non-matching) case. A change to normalisation or tolerance behaviour MUST increment the comparator version."
CDS500-R057,CDS-500,MUST NOT,"A comparator's declared behaviour and test vectors are the sole authority for what its normalisation may discard. A comparator MUST NOT be applied outside its declared input types, and an implementation MUST NOT substitute a broader comparator than the one the field declares. *(This replaces the untestable v0.1 ""must not hide meaningful data loss"" rule: what the comparator may hide is exactly what"
CDS500-R058,CDS-500,MUST NOT+MUST,Substring containment MUST NOT be used as a text-equality rule. Registries MUST record the substring false-green case of Appendix A.4 as a negative test vector for any text comparator.
CDS500-R059,CDS-500,SHOULD,"Comparison inputs and normalised forms SHOULD be retained for diagnostics, alongside the comparator identifier and version used."
CDS500-R060,CDS-500,MUST NOT,"The core verification status enum is exactly: **MATCH, MISSING, MISMATCH, PENDING, UNOBSERVABLE, NOT_APPLICABLE, OVERRIDDEN, ERROR**. Implementations MUST NOT add, remove or rename core statuses."
CDS500-R061,CDS-500,MUST+SHOULD,"Every field-level verification result MUST carry a core status; it SHOULD additionally carry a detailed status. Where a detailed status is recorded, its core status MUST be derived from the following table with no implementation-defined variation:"
CDS500-R062,CDS-500,MUST NOT+MUST,"SUPERSEDED is a record-retention state, not a live verification status. A verification result belonging to an older projection or publication revision MUST be marked superseded when a newer result for the same field exists, MUST be retained for audit, and MUST NOT appear in current status displays, health denominators or the machine status enum. *(Resolves the STALE_EXPECTED/SUPERSEDED boundary: S"
CDS500-R063,CDS-500,MUST NOT+MUST+MAY,Every field-level verification result whose core status is not MATCH MUST carry a machine-readable `reason_code` drawn from the CDS_* reason-code registry defined in CDS-1100 §21. A free-text `message` MAY accompany the reason code but MUST NOT replace it.
CDS500-R064,CDS-500,MUST,A MATCH produced under a redirected-expected override (§22) MUST carry OVERRIDDEN provenance (override identity) visible alongside the status.
CDS500-R065,CDS-500,MUST,"Where an expected value exists for a field, the field's detailed verification status MUST be derived from the observation coverage state (§15) as follows:"
CDS500-R066,CDS-500,MUST NOT+MUST,"A field result MUST NOT remain PENDING beyond the channel's declared propagation window. When the window lapses, the implementation MUST re-verify: re-observe and re-derive the status under CDS500-R065, recording reason code `CDS_PROPAGATION_WINDOW_EXPIRED` on any non-MATCH outcome. If re-observation is not possible, the status MUST become UNOBSERVABLE with that reason code. In all cases the lapse"
CDS500-R067,CDS-500,MUST,"Verification status MUST be field-specific before it is aggregated to product, batch or channel level."
CDS500-R068,CDS-500,MUST,"A product-level verified claim MUST identify the canonical revision and the verification scope (which fields, which coverage) it covers."
CDS500-R069,CDS-500,MUST,"Where traffic-light presentation is used, the colour mapping MUST be:"
CDS500-R070,CDS-500,MUST,"An AMBER indicator MUST escalate to RED presentation when either declared condition is met: (a) the channel's declared propagation window for the publication has lapsed without resolution, or (b) the field is a member of the channel's declared critical set (CDS500-R013). Escalation changes presentation and alerting; it does not alter the stored status or reason code."
CDS500-R071,CDS-500,MUST,WAIVED results MUST always present as AMBER. A waiver never produces GREEN; only a redirected-expected override that yields a true MATCH does (§22).
CDS500-R072,CDS-500,MUST NOT+MUST,"The user interface MUST make the detailed status and reason code accessible from every traffic-light indicator. AMBER MUST NOT function as a generic category: the indicator MUST distinguish — via detailed status and reason code — whether the field is missing, pending, unobservable, overridden or waived."
CDS500-R073,CDS-500,MUST NOT,Colours MUST NOT be stored or exchanged as verification statuses. Machine records carry statuses and reason codes; colour is derived at presentation time.
CDS500-R074,CDS-500,MUST+MAY,"An implementation MAY maintain expected/observed/match verification records at the formatted-output layer, in addition to canonical-versus-channel field verification. Where it claims this layer, each formatted-output field MUST use the §17 status enum, the §16 registry comparators and the §18 presentation rules, and the feed artifact MUST be verified end-to-end (generated output compared against t"
CDS500-R075,CDS-500,MUST NOT,"A formatted-output MATCH MUST NOT substitute for downstream observation: it proves the feed said what was intended, not that the channel stored or displays it."
CDS500-R076,CDS-500,SHOULD,Drift detection SHOULD assign a cause category separate from the verification status and reason code.
CDS500-R077,CDS-500,SHOULD,A known channel normalisation SHOULD be incorporated into expected-state or comparator rules (with a registry entry per §16.2) rather than generating repeated false alarms.
CDS500-R077a,CDS-500,MUST,"Observation records MUST be retained append-only per field and channel (never overwritten in place), so that for any drifted field the implementation can produce: the **previous observed value**, the **new observed value**, and the **detection interval** (last observation at which the field still matched, first observation at which it differed)."
CDS500-R077b,CDS-500,SHOULD,"When drift of type EXTERNAL_EDIT is detected, the implementation SHOULD correlate the detection interval with whatever actor evidence the channel exposes (event logs, audit logs, webhook actor metadata, staff activity records — declared per channel profile, CDS-900) and record the attribution outcome (actor identified, actor class identified, or unattributable) on the drift record."
CDS500-R077c,CDS-500,MUST NOT,"Attribution evidence is observed data about the channel, never a verdict about intent. An unattributable drift is still drift; attribution failure MUST NOT delay detection, verification status or escalation."
CDS500-R078,CDS-500,MUST,Automatic repair MUST be limited to fields and operations owned by the PIM under the declared ownership contract.
CDS500-R079,CDS-500,SHOULD,Critical or destructive repair actions SHOULD require approval or a pre-authorised policy.
CDS500-R080,CDS-500,MUST,Every repair action MUST create a new evidence record and MUST trigger re-verification where observation is supported.
CDS500-R081,CDS-500,MUST NOT,An override MUST NOT silently replace canonical product truth; the canonical value is unchanged and the override is a distinct governed record.
CDS500-R082,CDS-500,MUST+SHOULD,Overrides SHOULD be time-bounded and MUST carry a review date.
CDS500-R083,CDS-500,MUST,Verification MUST compare against the active redirected expected value when one exists.
CDS500-R084,CDS-500,MUST,"Health calculations MUST publish their weighting, inclusion and critical-field rules."
CDS500-R085,CDS-500,MUST,Any field in the declared critical set (CDS500-R013) whose presentation is RED — directly or via escalation (CDS500-R070) — MUST cap the aggregate product and channel presentation at RED regardless of the numeric score.
CDS500-R086,CDS-500,MUST NOT,NOT_APPLICABLE and superseded results MUST NOT count as successes in any health denominator; UNOBSERVABLE fields MUST NOT count as matched. *(No 100% match rate for unobserved fields — see CDS-1400.)*
CDS500-R087,CDS-500,MUST,Audit records MUST be append-only or otherwise protected against silent alteration.
CDS500-R088,CDS-500,MUST,"Sensitive payload content and credentials MUST be redacted or securely referenced without destroying operational traceability (hashes, IDs and reason codes retained)."
CDS500-R089,CDS-500,MUST NOT+MUST,"Connector credentials MUST be stored in a secret-management mechanism and MUST NOT be embedded in product records, logs or exported evidence."
CDS500-R090,CDS-500,SHOULD,Connectors SHOULD use the least privilege sufficient for their declared operations.
CDS500-R091,CDS-500,SHOULD,"Create, update, delete, withdraw, override and repair actions SHOULD support distinct permissions."
CDS500-R092,CDS-500,MUST,Bulk systems MUST preserve product- and field-level outcomes even when transport is batched.
CDS500-R093,CDS-500,SHOULD,A batch restart SHOULD resume from durable item states rather than replaying the full batch.
CDS500-R094,CDS-500,MAY,"Checksums MAY be used to avoid unnecessary projection, dispatch or comparison work, provided the checksum inputs are versioned and auditable."
CDS500-R095,CDS-500,MUST,"AI-generated repair actions MUST remain constrained by field ownership, permissions and approval policy (CDS500-R078/R079)."
CDS500-R096,CDS-500,MUST+MAY,"AI MAY propose that two values are semantically equivalent, but only a governed comparator or approved mapping MUST determine the verification result."
CDS500-R097,CDS-500,MUST NOT,An AI agent MUST NOT convert an UNOBSERVABLE or PENDING field into MATCH based on likelihood or inference.
CDS500-R098,CDS-500,SHOULD,"AI repair and triage proposals SHOULD key off reason codes and detailed statuses, not presentation colours."
CDS500-R099,CDS-500,MUST,"Each comparator registry entry MUST record: `comparator_id`, `version`, `input_types`, `normalisation_steps` (ordered), `equality_rule`, `tolerance` (where applicable), `diagnostics`, and `test_vectors` including negative cases (per CDS500-R056/R058)."
CDS600-R001,CDS-600,MUST,A CDS implementation MUST derive customer-facing discovery structures from governed product information rather than from uncontrolled labels entered independently in the storefront.
CDS600-R002,CDS-600,MUST NOT,Customer-facing simplification MUST NOT destroy the richer canonical or source information held by the PIM.
CDS600-R003,CDS-600,MAY,"A storefront MAY vary presentation by device, market or audience, provided the underlying meaning remains consistent."
CDS600-R004,CDS-600,MUST,"Customer experience structures MUST be treated as projections of canonical information, not as independent product facts."
CDS600-R005,CDS-600,SHOULD,"The PIM or governed commerce layer SHOULD be able to explain which canonical values and rules produced each customer-facing label, filter and collection membership."
CDS600-R006,CDS-600,MUST,These constructs MUST remain logically distinct even when a platform implements more than one of them with the same technical feature.
CDS600-R007,CDS-600,MUST NOT,A collection MUST NOT be treated as a substitute for a missing controlled attribute when customers need to refine by that attribute.
CDS600-R008,CDS-600,MUST NOT,A facet MUST NOT be used to redefine a product category.
CDS600-R009,CDS-600,SHOULD,Primary navigation SHOULD expose no more than the levels required for customers to orient themselves and reach a useful product set.
CDS600-R010,CDS-600,MAY,"Deep internal taxonomy nodes MAY remain available through category pages, search or links without appearing in the main menu."
CDS600-R011,CDS-600,MUST,"Navigation labels MUST have clear, non-overlapping meanings within the same level."
CDS600-R012,CDS-600,MAY,A product MAY be discoverable from multiple navigation paths while retaining one primary internal category (CDS-200 §6).
CDS600-R013,CDS-600,SHOULD,A category page SHOULD inherit its product membership from classification or an equivalent deterministic rule.
CDS600-R014,CDS-600,MUST,"A merchandising collection MUST declare whether membership is computed, manually curated or hybrid."
CDS600-R015,CDS-600,SHOULD,"Temporary collections SHOULD have an owner, activation window and retirement rule."
CDS600-R016,CDS-600,SHOULD,Parent pages SHOULD explain their scope and provide clear paths to child categories or relevant facets.
CDS600-R017,CDS-600,MUST+SHOULD,"Navigation, collection and facet labels MUST be written in customer language and SHOULD avoid internal abbreviations."
CDS600-R018,CDS-600,MUST+SHOULD,"A label MUST distinguish neighbouring choices. Terms such as Other, General or Miscellaneous SHOULD be avoided unless no clearer grouping exists."
CDS600-R019,CDS-600,SHOULD,"Where a term is ambiguous across industries or regions, the label SHOULD include qualifying context."
CDS600-R020,CDS-600,SHOULD+MAY,"Synonyms MAY support search, but the interface SHOULD present one preferred label per concept."
CDS600-R021,CDS-600,MUST,Every customer-facing facet MUST have a governed Facet Definition.
CDS600-R022,CDS-600,MUST,"Facet values MUST come from controlled canonical or facet dictionaries (CDS-400), not from unrestricted distinct strings."
CDS600-R023,CDS-600,SHOULD,The same logical facet SHOULD retain one identifier across channels even where the display label is localised.
CDS600-R024,CDS-600,MUST,"A Facet Definition MUST declare its count unit (products, purchasable variants or another declared unit) and its count method (§16)."
CDS600-R025,CDS-600,MUST NOT+MUST,A Facet Definition MUST declare its selection logic; interfaces MUST NOT rely on undocumented platform defaults.
CDS600-R026,CDS-600,MUST NOT+MUST,"How facets combine across a result set is a property of the facet set, not of an individual facet. The cross-facet operator MUST be declared at the facet-set (category- or context-profile) level, and a Facet Definition MUST NOT carry its own cross-facet operator. *(Resolves CDS-600-4; see §15 and Appendix A.)*"
CDS600-R027,CDS-600,MUST NOT,A field MUST NOT become a facet merely because the platform permits filtering on it.
CDS600-R028,CDS-600,SHOULD,Facet eligibility SHOULD be reviewed per category profile rather than globally.
CDS600-R029,CDS-600,SHOULD,Low-coverage or highly fragmented facets SHOULD remain hidden until data quality and grouping are adequate (thresholds per §28).
CDS600-R030,CDS-600,MUST NOT+MUST,Facet values MUST be projections of canonical values and MUST NOT replace those canonical values in the PIM.
CDS600-R031,CDS-600,MAY,Many canonical values MAY map to one broader facet value when that grouping improves customer comprehension.
CDS600-R032,CDS-600,MAY,"A canonical value MAY map to more than one facet group only where the secondary membership is deliberate, documented and non-deceptive."
CDS600-R033,CDS-600,MUST,"*(Definition — resolves CDS-600-7.)* The **sellable colour** of a Variant is the canonical value of its colour Variant Option (CDS-100 §2–§3). What the customer sees is that canonical value's Display Label (e.g. ""French Navy""); what filtering uses is the Facet Value the canonical value maps to (e.g. Blue). Implementations MUST maintain this distinction; the Display Label is never itself the canoni"
CDS600-R034,CDS-600,MUST,A colour facet MUST use a controlled colour-family dictionary rather than exposing every display colour as a separate filter value.
CDS600-R035,CDS-600,MAY,The storefront MAY display the sellable colour's Display Label on the product card or product page while filtering by the broader family.
CDS600-R036,CDS-600,MUST NOT+MUST,Colour swatches MUST NOT be the sole means of communicating a value; a text label MUST remain available (§24).
CDS600-R037,CDS-600,SHOULD,"Multi-colour, transparent, metallic and natural finishes SHOULD be modelled explicitly rather than forced into an inaccurate basic hue. Multicolour is a facet/status value, never a canonical shade (CDS-100 §3)."
CDS600-R038,CDS-600,SHOULD,"Where a product contains several meaningful colours, the system SHOULD distinguish primary colour, secondary colour and multicolour status."
CDS600-R039,CDS-600,MUST,Size facets MUST preserve the distinction between the displayed size label and the normalised size order or scale.
CDS600-R040,CDS-600,MUST,"A category profile MUST define which size system applies (e.g. alpha, numeric apparel, footwear, waist, bedding, dimensional)."
CDS600-R041,CDS-600,MUST,Size values MUST sort semantically rather than alphabetically.
CDS600-R042,CDS-600,MUST NOT,Fit MUST NOT be inferred from size alone.
CDS600-R043,CDS-600,SHOULD+MAY,Numeric dimension facets SHOULD use normalised units and MAY present customer-local units.
CDS600-R044,CDS-600,MUST,Material composition MUST remain separately available from the simplified material facet where percentages or blends matter.
CDS600-R045,CDS-600,MUST NOT+SHOULD,Style and occasion facets SHOULD use a small governed vocabulary and MUST NOT become an uncontrolled list of marketing phrases.
CDS600-R046,CDS-600,SHOULD,Homewares facets SHOULD be category-aware; a Room facet may be useful for decor but irrelevant for cookware components. *(Industry baselines: CDS-1500.)*
CDS600-R047,CDS-600,SHOULD,"Different facets SHOULD combine with AND logic (Blue AND Linen), as the declared facet-set default."
CDS600-R048,CDS-600,SHOULD,Multiple values within the same categorical facet SHOULD combine with OR logic (Blue OR Green).
CDS600-R049,CDS-600,MUST+MAY,"An AND-within-facet mode MAY be used where a product must possess all selected values, but the interface MUST make that behaviour clear."
CDS600-R050,CDS-600,MUST,Single-select facets MUST prevent contradictory simultaneous choices.
CDS600-R051,CDS-600,MUST,"A range facet MUST define inclusive boundaries, units and rounding behaviour."
CDS600-R052,CDS-600,MUST,Facet counts MUST declare their counting unit and availability scope (CDS600-R024).
CDS600-R053,CDS-600,SHOULD,Variant-defined facets SHOULD evaluate valid variant combinations rather than independent product-level unions.
CDS600-R054,CDS-600,MUST NOT,"Where the storefront platform supports combination-level availability filtering, a product MUST NOT be counted as satisfying a selected combination unless at least one eligible sellable unit satisfies the complete selected combination."
CDS600-R055,CDS-600,MUST+SHOULD,"Where the storefront platform does not support combination-level availability filtering, the implementation MUST disclose that limitation in its platform profile (CDS-900) and SHOULD approximate combination behaviour as closely as the platform allows. *(Resolves CDS-600-2.)*"
CDS600-R056,CDS-600,MUST,"*(Disjunctive count semantics — resolves CDS-600-5.)* Within a multi-select OR facet, the count displayed for an unselected value MUST be computed against the result set produced by all *other* facet selections, excluding that facet's own current selection, so that the count predicts the effect of adding the value rather than reporting the already-filtered set. The count method in force MUST be de"
CDS600-R057,CDS-600,SHOULD,The interface SHOULD update counts or availability after each selection so customers can anticipate the effect of another filter.
CDS600-R058,CDS-600,MUST,A facet value whose selection would produce no truthful available result in the current context MUST be disabled or hidden.
CDS600-R059,CDS-600,MUST NOT+MUST+MAY,"As a governed exception to R058's hiding branch, out-of-stock values MAY remain visible for discovery only where the interface presents a clear unavailable state; unavailable values MUST be distinguished from purchasable options and MUST NOT be presented as normally selectable."
CDS600-R060,CDS-600,MUST,"When no results remain, the interface MUST preserve the selected filters and provide a clear recovery action."
CDS600-R061,CDS-600,SHOULD,Recovery SHOULD identify the narrowest selected constraint or offer removal of one filter at a time.
CDS600-R062,CDS-600,MUST NOT,A zero-result message MUST NOT imply that the store has no relevant products when the result is caused by an over-restrictive combination.
CDS600-R063,CDS-600,SHOULD,High-value decision facets SHOULD appear before secondary descriptive facets.
CDS600-R064,CDS-600,MUST,"Size, numeric ranges and lifecycle stages MUST use semantic order rather than alphabetical order."
CDS600-R065,CDS-600,MAY,"Colour families MAY use a stable merchandising order or a visual palette order, provided labels remain accessible."
CDS600-R066,CDS-600,SHOULD,"Long value lists SHOULD use search, grouping or progressive disclosure rather than expanding the page indefinitely."
CDS600-R067,CDS-600,SHOULD,A facet SHOULD be expanded by default only when it is broadly useful in the current context.
CDS600-R068,CDS-600,MUST,Mobile filtering MUST expose the number of active filters and provide a persistent way to clear or edit them.
CDS600-R069,CDS-600,MUST+SHOULD+MAY,"An apply action MAY defer result updates inside a mobile filter panel; where it does, the apply control MUST display a preview of the result count that will apply, and selected counts and availability SHOULD remain understandable while the panel is open. *(Resolves CDS-600-9.)*"
CDS600-R070,CDS-600,MUST,"Filter controls MUST remain operable with touch targets, keyboard navigation and assistive technology (§24)."
CDS600-R071,CDS-600,SHOULD,A long mobile facet list SHOULD support internal search or grouping rather than forcing excessive scrolling.
CDS600-R072,CDS-600,MUST,Closing the filter interface MUST preserve current selections unless the user explicitly cancels them.
CDS600-R073,CDS-600,SHOULD,"Search indexes SHOULD include canonical values, display labels, approved aliases and relevant facet families."
CDS600-R074,CDS-600,MUST NOT+MUST,A search synonym MUST map to a preferred concept or query expansion and MUST NOT create an uncontrolled duplicate value.
CDS600-R075,CDS-600,SHOULD,"Brand, SKU, MPN and GTIN identifiers SHOULD be indexed according to access and relevance requirements."
CDS600-R076,CDS-600,SHOULD+MAY,"Search query interpretation MAY infer a facet selection, but the resulting refinement SHOULD be visible to the customer."
CDS600-R077,CDS-600,MUST NOT,Misspelling tolerance and semantic expansion MUST NOT override exact product identifiers or create materially misleading results.
CDS600-R078,CDS-600,MUST,Every sort option MUST declare the data and tie-breakers used.
CDS600-R079,CDS-600,MUST,Price sorting MUST use the same customer-visible price basis used in the current market and tax context.
CDS600-R080,CDS-600,SHOULD,"Newness SHOULD use a governed publication or arrival date, not an arbitrary last-edit timestamp."
CDS600-R081,CDS-600,SHOULD+MAY,"Relevance ranking MAY use behavioural signals, but product-data completeness and availability SHOULD remain quality inputs."
CDS600-R082,CDS-600,MUST,Sponsored or commercially influenced ranking MUST be identifiable where applicable.
CDS600-R083,CDS-600,SHOULD,A product card SHOULD display the attributes necessary to distinguish neighbouring products without reproducing the entire product page.
CDS600-R084,CDS-600,MUST,Variant swatches or size indicators MUST reflect actual eligible variants and availability.
CDS600-R085,CDS-600,SHOULD,"A colour swatch SHOULD use the governed Display Label and visual sample, while its filter behaviour uses the facet family."
CDS600-R086,CDS-600,MUST,"Product-card badges such as New, Sale, Clearance or Exclusive MUST originate from governed lifecycle or merchandising rules."
CDS600-R087,CDS-600,MUST NOT,A product card MUST NOT show an unavailable price or variant as though it were the active purchasable choice.
CDS600-R088,CDS-600,SHOULD,Breadcrumbs SHOULD reflect the chosen customer navigation context while remaining consistent with the primary category model.
CDS600-R089,CDS-600,MAY,Cross-links MAY surface a product to another audience without assigning a second primary category.
CDS600-R090,CDS-600,SHOULD,Editorial and campaign pages SHOULD link back to stable category or collection destinations where customers can continue browsing.
CDS600-R091,CDS-600,MUST,A product appearing in several collections MUST retain one canonical identity and one primary classification.
CDS600-R092,CDS-600,MUST,Facet groups and controls MUST have programmatically determinable labels.
CDS600-R093,CDS-600,MUST,"Selected state, disabled state and result counts MUST be exposed to assistive technology."
CDS600-R094,CDS-600,MUST NOT+MUST,"Colour swatches and colour indicators MUST include text alternatives, and colour MUST NOT be the sole signal for any value, state or distinction."
CDS600-R095,CDS-600,MUST,Keyboard focus MUST follow a logical order and remain visible.
CDS600-R096,CDS-600,MUST,Changes to result counts MUST be announced to assistive technology without causing disruptive focus movement.
CDS600-R097,CDS-600,MUST,Clear-all and remove-filter controls MUST have unambiguous accessible names.
CDS600-R098,CDS-600,MUST,"Range controls MUST expose current values, minimum, maximum and units."
CDS600-R099,CDS-600,MUST,"An implementation MUST declare a response-time target for facet and filter interactions and MUST monitor performance against that declared target. *(Resolves CDS-600-8; replaces the untestable ""quickly enough"" wording.)*"
CDS600-R100,CDS-600,MUST+SHOULD,The storefront MUST fail safely when a facet service is unavailable; product browsing SHOULD remain possible.
CDS600-R101,CDS-600,MUST NOT+MUST,Cached counts MUST identify their freshness and MUST NOT be presented as live availability when they are materially stale relative to the declared target and propagation windows.
CDS600-R102,CDS-600,SHOULD,Large dictionaries SHOULD support indexed lookup rather than rendering all values unconditionally.
CDS600-R103,CDS-600,MUST NOT,Performance optimisation MUST NOT change selection semantics or counts without explicit disclosure.
CDS600-R104,CDS-600,MUST,"An implementation MUST define which facet combinations are indexable, canonicalised, blocked or represented without unique URLs."
CDS600-R105,CDS-600,SHOULD,"Indexable landing pages SHOULD have stable intent, sufficient product depth and unique explanatory content."
CDS600-R106,CDS-600,SHOULD NOT,Transient or extremely narrow combinations SHOULD NOT become indexable pages by default.
CDS600-R107,CDS-600,MUST,The canonical category and collection structure MUST remain discoverable independently of facet-generated URLs.
CDS600-R108,CDS-600,MUST NOT,SEO policy MUST NOT weaken customer filter behaviour merely to simplify crawling.
CDS600-R109,CDS-600,MUST NOT+MAY,"Personalisation MAY reorder facets, values or products but MUST NOT change the semantic meaning of a facet."
CDS600-R110,CDS-600,MUST,A personalised interface MUST retain a predictable way to access the full applicable filter set.
CDS600-R111,CDS-600,MUST NOT,Sensitive personal inference MUST NOT be required for ordinary product discovery.
CDS600-R112,CDS-600,MUST,Analytics identifiers MUST remain stable when display labels change.
CDS600-R113,CDS-600,SHOULD,"Facet analytics SHOULD distinguish exposure, interaction and resulting product-set size."
CDS600-R114,CDS-600,MUST,"The organisation MUST declare its thresholds for facet usage and facet coverage. A facet whose usage exceeds the declared usage threshold while its coverage falls below the declared coverage threshold MUST trigger data-quality review rather than automatic removal. *(Resolves CDS-600-11; replaces the untestable ""high-use facet with poor coverage"".)*"
CDS600-R115,CDS-600,MUST,"Every facet MUST have an owner responsible for definition, dictionary, coverage and retirement."
CDS600-R116,CDS-600,MUST,New facet values MUST enter through the governed dictionary or mapping workflows defined in CDS-400.
CDS600-R117,CDS-600,SHOULD,Renaming a visible label SHOULD preserve the stable facet and value identifiers.
CDS600-R118,CDS-600,MUST,"Merging or splitting values MUST include migration, publication, search and analytics impact analysis."
CDS600-R119,CDS-600,SHOULD,"Facet changes SHOULD be tested against representative categories, devices and product combinations before release."
CDS600-R120,CDS-600,MUST,"Deprecated values MUST retain aliases or redirects long enough to protect imports, saved URLs and historical analytics where applicable."
CDS700-R001,CDS-700,MUST NOT+MUST,"AI MUST operate as a producer of proposals, evidence or bounded actions; it MUST NOT become the implicit source of truth for product information."
CDS700-R002,CDS-700,MUST,"AI-generated information MUST conform to the same schemas, dictionaries, validation rules and publication controls as information entered by a human or imported from a supplier."
CDS700-R003,CDS-700,MUST,The PIM MUST remain the master product-information layer when AI is used (CDS-200; CDS-P-02).
CDS700-R004,CDS-700,MUST,An implementation MUST make AI participation visible and auditable: authorised operators MUST be able to enumerate the active AI workflows (via the registry of §33) and inspect the work objects (§6) behind any AI-originated value.
CDS700-R005,CDS-700,MUST,"Every AI workflow MUST identify its inputs, expected output schema, validation rules, approval policy and permitted destination state."
CDS700-R006,CDS-700,MUST NOT,An AI workflow MUST NOT write directly into a canonical field unless its autonomy level and the field's risk class explicitly permit that action.
CDS700-R007,CDS-700,MUST,*(normative)* An implementation MUST declare the role an AI workflow performs rather than describing all AI activity as a single generic enrichment step.
CDS700-R008,CDS-700,MUST,An organisation MUST declare the autonomy level for each AI workflow.
CDS700-R009,CDS-700,MUST NOT,A4 MUST NOT be interpreted as unrestricted autonomy.
CDS700-R010,CDS-700,MUST NOT,"High-risk fields — price, tax, regulated claims, hazardous-use instructions, legal warranties and safety information — MUST NOT use A3 or A4 without an explicit specialist-approved policy."
CDS700-R011,CDS-700,MUST+MAY,**Bounded A3** is A3 operated under all four of the following controls. A workflow claiming A3 MUST implement all four; R2-risk tasks (Appendix B) MAY use A3 only in this bounded form: 1. a **per-field policy** declaring which fields and value classes are eligible for automatic acceptance; 2. a **calibrated confidence threshold** derived from representative reviewed examples for that task and fiel
CDS700-R012,CDS-700,MUST,An A4 workflow MUST enumerate its permitted actions in its workflow definition; any action not enumerated is prohibited for that workflow.
CDS700-R013,CDS-700,MUST,AI proposals MUST be stored separately from canonical values until accepted by the declared approval policy.
CDS700-R014,CDS-700,MUST NOT,Rejecting or superseding a proposal MUST NOT erase its audit record.
CDS700-R015,CDS-700,MUST,"The review state of an AI proposal MUST use the shared enum: `proposed`, `review_required`, `accepted`, `rejected`, `superseded`, `expired`. This enum is identical in CDS-700 and the CDS-1100 ai-proposal schema — they describe the same record. Execution failure (timeout, malformed output, tool error) is a work-object disposition (§28), not a review state."
CDS700-R016,CDS-700,MUST,"An evidence record MUST identify the publisher and the basis for its class assignment; evidence that cannot meet the E1–E3 criteria MUST be classed E4. For E2 ""certified feed"" evidence the certifier MUST be named."
CDS700-R017,CDS-700,MUST,Every factual AI proposal MUST identify the evidence used or explicitly declare that no eligible evidence was available.
CDS700-R018,CDS-700,MUST NOT,AI MUST NOT convert absence of evidence into a positive product claim.
CDS700-R019,CDS-700,MUST,Conflicting eligible sources MUST be surfaced as a conflict rather than silently resolved by model preference.
CDS700-R020,CDS-700,MUST,An AI workflow MUST receive an explicit output schema.
CDS700-R021,CDS-700,MUST,Out-of-schema fields MUST be rejected or quarantined.
CDS700-R022,CDS-700,MUST,"When an output requires a dictionary value, the AI MUST select from the allowed identifiers or return an unknown-value proposal (CDS-400 §17)."
CDS700-R023,CDS-700,MUST,The original extracted text MUST be preserved when the normalised result may be disputed or reprocessed.
CDS700-R024,CDS-700,SHOULD,"Unit conversion and arithmetic SHOULD be performed by deterministic code after AI extraction, not by unchecked model calculation."
CDS700-R025,CDS-700,MUST,"A normalisation step MUST identify whether the result was exact, alias-based, transformed or inferred."
CDS700-R026,CDS-700,MUST,AI classification MUST select from the current approved taxonomy identifiers.
CDS700-R027,CDS-700,SHOULD,"The classifier SHOULD return ranked candidates, confidence and the evidence that distinguished the selected category from nearby alternatives."
CDS700-R028,CDS-700,MUST NOT,A category suggestion MUST NOT automatically create a new category.
CDS700-R029,CDS-700,MUST NOT+MUST,External taxonomy suggestions MUST remain channel mappings and MUST NOT replace the internal classification.
CDS700-R030,CDS-700,MUST NOT,AI MUST NOT create a canonical dictionary value merely to avoid returning unknown.
CDS700-R031,CDS-700,MUST,"A proposed alias MUST retain the source wording, language, supplier and approval status."
CDS700-R032,CDS-700,MUST NOT,"Generated content MUST NOT introduce product capabilities, compatibility, certifications, scarcity, sustainability or performance claims that are absent from approved information."
CDS700-R033,CDS-700,SHOULD,"The workflow SHOULD distinguish factual fields, marketing interpretation and stylistic wording."
CDS700-R034,CDS-700,MUST,A generated title MUST preserve the identifiers and distinguishing attributes required by the organisation's declared product-title policy (R035).
CDS700-R035,CDS-700,MUST,"An organisation using AI title generation MUST declare a **product-title policy**: a per-catalogue or per-category-profile statement of which identifiers (e.g. brand, model number) and which distinguishing attributes (e.g. colour, size, capacity) a title must preserve, and any ordering or length constraints. The policy is the testable reference for R034."
CDS700-R036,CDS-700,SHOULD,"Generated content SHOULD cite or internally link the canonical fields used, so reviewers can trace each factual statement."
CDS700-R037,CDS-700,MUST,The canonical source language and approved translation MUST remain linked by version.
CDS700-R038,CDS-700,SHOULD,Dictionary values SHOULD use locale-specific display labels (CDS-400) rather than being translated independently in every product record.
CDS700-R039,CDS-700,MUST,"AI translation MUST preserve product identifiers, measurements, brand names and regulated wording according to field policy."
CDS700-R040,CDS-700,MUST,"A translation workflow MUST report omitted, ambiguous or culturally adapted content."
CDS700-R041,CDS-700,MUST,Visual analysis MUST distinguish visible observation from inferred product fact.
CDS700-R042,CDS-700,MUST NOT+SHOULD,AI-generated alt text SHOULD describe relevant visible content concisely and MUST NOT repeat unsupported marketing claims.
CDS700-R043,CDS-700,SHOULD,"Image-derived colour SHOULD be treated as observational (E3) evidence: lighting, editing, display profiles and material reflectance can all shift apparent colour."
